"country_code","series_code","year","value"
BEL,EG.USE.COMM.GD.PP.KD,"2007",128.2201324
BEL,EG.USE.COMM.GD.PP.KD,"2008",131.0608758
BEL,EG.USE.COMM.GD.PP.KD,"2009",128.7698719
BEL,EG.USE.COMM.GD.PP.KD,"2010",134.8265383
BEL,EG.USE.COMM.GD.PP.KD,"2011",123.3479682
BEL,EG.USE.COMM.GD.PP.KD,"2012",117.8227113
BEL,EG.USE.COMM.GD.PP.KD,"2013",121.8477575
BEL,EG.USE.COMM.GD.PP.KD,"2014",113.8340471
BEL,EG.USE.COMM.GD.PP.KD,"2015",112.3948207
BEL,IT.NET.USER.P2,"2006",59.72
BEL,IT.NET.USER.P2,"2007",64.44
BEL,IT.NET.USER.P2,"2008",66.0
BEL,IT.NET.USER.P2,"2009",70.0
BEL,IT.NET.USER.P2,"2010",75.0
BEL,IT.NET.USER.P2,"2011",81.609996
BEL,IT.NET.USER.P2,"2012",80.71999055
BEL,IT.NET.USER.P2,"2013",82.1702
BEL,IT.NET.USER.P2,"2014",85.0
BEL,IT.NET.USER.P2,"2015",85.0529
BEN,EG.USE.COMM.GD.PP.KD,"2006",204.7388449
BEN,EG.USE.COMM.GD.PP.KD,"2007",210.0260771
BEN,EG.USE.COMM.GD.PP.KD,"2008",204.6828411
BEN,EG.USE.COMM.GD.PP.KD,"2009",209.8646182
BEN,EG.USE.COMM.GD.PP.KD,"2010",218.3533306
BEN,EG.USE.COMM.GD.PP.KD,"2011",217.8996892
BEN,EG.USE.COMM.GD.PP.KD,"2012",215.3503409
BEN,EG.USE.COMM.GD.PP.KD,"2013",209.9883513
BEN,EG.USE.COMM.GD.PP.KD,"2014",208.2856907
BEN,EG.USE.COMM.GD.PP.KD,"2015",NA
BEN,IT.NET.USER.P2,"2006",1.537854346
BEN,IT.NET.USER.P2,"2007",1.79
BEN,IT.NET.USER.P2,"2008",1.85
BEN,IT.NET.USER.P2,"2009",2.24
BEN,IT.NET.USER.P2,"2010",3.13
BEN,IT.NET.USER.P2,"2011",4.148323066
BEN,IT.NET.USER.P2,"2012",4.5
BEN,IT.NET.USER.P2,"2013",4.9
BEN,IT.NET.USER.P2,"2014",6.0
BEN,IT.NET.USER.P2,"2015",11.25498791
BFA,EG.USE.COMM.GD.PP.KD,"2006",NA
BFA,EG.USE.COMM.GD.PP.KD,"2007",NA
BFA,EG.USE.COMM.GD.PP.KD,"2008",NA
BFA,EG.USE.COMM.GD.PP.KD,"2009",NA
BFA,EG.USE.COMM.GD.PP.KD,"2010",NA
BFA,EG.USE.COMM.GD.PP.KD,"2011",NA
BFA,EG.USE.COMM.GD.PP.KD,"2012",NA
BFA,EG.USE.COMM.GD.PP.KD,"2013",NA
BFA,EG.USE.COMM.GD.PP.KD,"2014",NA
BFA,EG.USE.COMM.GD.PP.KD,"2015",NA
BFA,IT.NET.USER.P2,"2006",0.632707564
